tweet	label	sentiment
@MarcusFitzsimon @peterjukes @BylineTimes So are far too many others. They are treating COVID-19 like its a cold.	o	0
A virus so weak they had to release a vaccine to weaken your immune system just to kill you.Darkest Winter	ov	-1
doctors for covid ethicshttps://t.co/sdMunwDn9V	s	1
This covid news has NOT passed the vibe check!!!	o	0
"Thanks a lot to @dogespromote 🙏🙏😭😭😭☘️♥️For this amazing gift , first time winning Will help me a lot ♥️☺️🙏 during this pandemic covid-19 . Thanks again ♥️☺️Received prize instantly . #LEGIT #Dogespay #Dogepromotelegit https://t.co/n3mSsc2Ovn"	o	1
"Maldivian leader, concerned over new COVID variant, plans to ramp up vaccinations https://t.co/kB91YBVqd0"	g	0
@R5Philly @QuispMe @PerdewJoe The vaccine mandates violate the Nuremberg Code. The Constitution and US Civil Rights. Mandate for a virus that never existed and was founded by a crooked NIH and Crooked Fauci to steal an election… who does that? A dictator.	g	-1
"#omicron  ...preparing the dutch superfood called ""boerenkool"". Guaranteed a better protection for any covidflu then the poison pfizer jab. Enjoy:https://t.co/18o5QepwYZ"	a	1
@teapotladyciara @IrishTimes I was protesting against vaccination pass that segregate people.	m	0
"@CMOH_Alberta “They” say it’s vaccine resistant haha didn’t we tell you this all would happen from your magic poison jab! Right once again! Live your life Albertans, don’t listen to a word these lying POS say. It’s about control. A sick sick dangerous game they are playing"	g	-1
"Steve Kirsch:""45% of deaths after COVID vaccination happen in the first 2 weeks. It's 59% at 4 weeks and 63% at 5 weeks.Doing some very conservative estimates on the number of Americans killed by the vaccine leads to the inevitable conclusion that the vaccines should be stopped."""	a	-1
"@djskeez313 Jesus Christ lol, already all had pre-existing health issues no doubt, this virus is man-made, don’t cry to me about that, I’ve gotten the shit twice already, honestly if anything the vaccinated are creating new strains, stupidity is unfixable, ignorance is bliss.."	a	0
"@BadCOVID19Takes Wind up in hospital with Covid, you'll have more needle sticks you ever imagined possible."	o	-1
U.S. imposes travel ban from eight African countries over Omicron variant https://t.co/JysPoYK9We	g	0
@jmacho162 @thepointbeingg @Annie121655 @thebradfordfile You do realize variants are created from leaky vaccines right??? If the vaccine doesn’t kill the virus it mutates to get around the vaccine	a	0
Total Covid Death Distribution by County  For WA   2021-11-26:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #globalhealth https://t.co/05x4nryVWz	s	0
Lockdown In Karnataka from Dec 15 https://t.co/R2IKRsf9xvSource: Bucket TV https://t.co/X8kncnx1Iy	g	0
Delta Variant Still Responsible For 99% Of Covid Cases Globally: WHO#covidvariant #coronavirus #COVID19https://t.co/1ZiYNTzWwX	g	0
"It is only in our darkest hours that we may discover the true strength of the brilliant light within ourselves that can never, ever, be dimmed. - Doe Zantamata#quote #covid19 https://t.co/pKBeP7BTNo"	o	1
"Rage must be cancelled. Shouldn't have gone ahead at all amidst a pandemic. But forget COVID, cancelling Rage will save many young women from the horrors of boozed up misogynistic barely-men who themselves have a point to prove in an environment that offers ""nothing to lose"" https://t.co/juw3g06xRW"	o	0
@blockchain Petition has been made to transfer the billion dollars worth of $Shiba Inu covid relief fund coins over into $India coins. To start national coin. Buy #India coin while it's still low. #ShibaArmy #dogecoin #Bitcoin #shibainu #ElonMusk #ETH #BTC #Ethereum #BNB	g	0
"@sophie_walsh9 @9NewsAUS @TheTodayShow Fear mongering pricks. Let me guess, another lockdown until everyone has a couple of boosters.There goes that Christmas"	m	-1
"#UPDATE Dutch health authorities say they had discovered at least 13 cases of the new Omicron strain among passengers on two flights from South Africa, after 61 out of 600 travellers on the two KLM planes tested positive for Covid-19 on Friday https://t.co/HPZ8Hwoqsw https://t.co/CMfSF9jwkI"	g	-1
@QuancyClayborne Got my Pfizer booster about a month ago. 👍🏻👍🏻	p	1
"@Wrestlinggirl48 @tommycmann @alfrescosleep @capt7_ @mrjamesob The vaxxed don't have a problem getting tested either, idiot. The vaxxed are responsible and stay home and quarantine. The unvaxxed don't care, if they die, they die so why not take out as many with me. That good Christian sentiment"	p	-1
"@sth9669 @ScrewAmber @jakeshieldsajj @Cernovich You aren't immune to anything. You have a certain level of resistance. It would be higher if you were vaccinated.There have been indicators that the virus actually attacks certain immune response pathways, but sure, keep putting your faith in a virus to keep you safe lol"	p	0
"@outsider63 @BottomleyFiona @TonyHinton2016 No it’s not. A vaccine is a drug which teaches your immune system to recognise a pathogen without making you ill. Any case made for a different definition is a semantic, not a medical one."	p	0
@carentarvin @CharisHamilton8 @brithume Policy by fear is very oppressive. there are other ways to maintain safety than a flawed undesirable vaccine that is making criminals rich.	a	-1
@ThaboMakwakwa You pose a risk as unvaccinated to the vaccinated simple as that	p	0
"@HiJCP @MollyJongFast That is exactly the game — and it is cynical and cruel, because it is attempting to leverage a political result by causing the avoidable deaths — and misery — of innocent people &amp; their families, who will all suffer from following the GOP’s idiotic advice not to get vaccinated"	g	-1
"The latest cases, including 15 imported and 13,094 domestic transmissions, were logged in 60 provinces and cities https://t.co/1pjfZwLiOA"	s	0
Some more context around the possibilities of omicron https://t.co/yyLTNfrAlo	o	0
The Daily Telegraph altered a news headline: https://t.co/iY7rnrJebj https://t.co/hiK9CE0Rj2	o	0
"@GOP Because you idiots won’t get vaccinated.Don’t pretend he didn’t supply the tools, he did.You can’t cure stupid in this country."	g	-1
@BeeMatney Yes. And the varient OMICRON is an anagram for MORONIC	o	-1
@RadioFreeTom I won’t even read that ridiculous article…of course Biden can’t control a natural disaster when the Trump followers discount the vaccine.  Let’s not equate Biden’s term with Trump’s disaster.	g	-1
abandoing my pandemic dog because “i’m done with that phase of my life”	o	0
"The warnings about the omicron variant have some writing it off as overhyped. @DanAbrams gives his thoughts on where things stand, and Bethany Mandel, who’s been critical of mainstream news outlets’ coverage of the pandemic, weighs in. #DanAbramsLive #NewsNation"	o	0
How do I avail Turkish airlines flight change policy for a comfortable journey#Turkishairlinesflightchangepolicy#TurkishairlinesflightpolicyVisit ... https://t.co/aCL2ACVxBK	m	0
@realist64 @Intellectard @MrMeatMan2024 @DonaldJTrumpJr I'm just against mandates. I can't give a fuck less if Karen and Kyle get the vaccine. Their decision has no impact on me.	g	0
Classification of Omicron (B.1.1.529): SARS-CoV-2 Variant of Concern https://t.co/RjddCXv3FB	s	0
Covid Rising Rapidly in Two Major South African Cities  https://t.co/MDMdxYzdhU	g	-1
i cannot mentally handle another covid variant please go away	o	-1
@Tuliodna #GenocidalMilitaryBlock aidsArbitrarily abduct medics while giving medical support to civiliansThose who spearheaded #COVID19 prevention now in jailSAVE 54 MILLION LIVES#WarCrimesOfJunta#EndImpunity_EndVAW#Nov27Coup#WhatsHappeningInMyanmarhttps://t.co/MwIYHKZRMa	g	-1
"With a new variant of Covid 19 on the horizon, people need to ask themselves if it’s worth dying over. The vaccine does not kill. The vaccine is keeping people alive. The vaccine will prevent future occurrences of mutation. If I have to beg I will. Get vaccinated. HELP STOP THIS."	p	1
@professorbtgs Pandemic hits 😅	o	0
@idiots_sick @fogunited7 @LeeKurtiss @alonso_says @ryanciminski you just refuse to admit they were all fully vaccinated its OK you have been brainwashed for a long time you might some day realize it	ov	-1
Omicron will be the end of Scott Morrison’s leadership (if you could even call it that). 18 months &amp; still no purpose built quarantine. What an absolute disgrace. Shows the colossal failure of this government. The PM claims everything he does is 4 Aus. Nope. Not even close	g	-1
@Live4Liberty @cedar1900 @MeddingsMark1 @POTUS @ifudontlike2bad So what about babies who don't have a fully fledged immune system yet? Afaik the vaccine isn't suitable for them yet.	ov	0
South African white people are a pandemic https://t.co/UJl5uI0zhZ	g	-1
"Is Atmospheric Rivers their new ploy,guess we won't hear the end of that quote until they come up with another one-what ever happened to heavy rains etc.just more bs folks to get the people in panic and fear mode like covid next we will hear the sky is falling the sky is falling"	s	-1
"This article was only a few days ago. But it’s also an important reminder that Africa has some surprising and less surprising advantages over COVID, which is one of the reasons (though logistics is number 1) that countries like South Africa said they have enough vaccine for now. https://t.co/ytbVnREYtO"	g	0
The first dozen Variants that Biden &amp; Fauci named are NOT getting the panic lockdown response they want...so they keep putting names on outbreak.They lie so much who knows if it even new or they may have created a different one. This last one will be called the COMMUNIST variant. https://t.co/GJZd5tNx2r	g	-1
Interestingly cancer's been around since 3000 BC and they've never found a cure for it but yet they found a vaccine for Covid-19 in five months. #interesting #KnowledgeIsPower https://t.co/qAXpmONimm	ov	0
COVID Parenting Is Reaching a Breaking Point - The Atlantic https://t.co/N4vXQBQrEB	o	0
Big news media trying to scare me about this new COVID variant. #Omicron https://t.co/s7dbGjG6Zn	ov	-1
"@MartinKulldorff ITS A SETUP! Omicron is more transmissble...some know masks dont work, a lot dont. When the numbers go up, and they will go up as history shows us Omicron is already amongst us, the mask noncompliance gang will be blamed for the lockdown over 🎅. Its a PSY-OP against 💉 hesitant"	a	0
@AenesidemusOZ @dtauletto @HealthcareGlob1 What argument are you presenting? That you’d rather risk the unkown long term effects of the jab than risk the 99% survival rate if you get covid? 🤷🏻‍♀️	p	0
"The new variant of the Corona, the Omicron, has caused disturbance around the world.#vaccine #covidvaccine #deltastrain #omicron #newvariant #corona #getvaccinated #covid19 #smccenters #RTPCR #smcvaccination #suratcitynews #surat #suratcity #citynews #suratnews #chaitimefeed https://t.co/vWg3ATqPCI"	ov	-1
"India: Post Vaccination death #10532 to #10534Karnataka Dr GN Ganesh Kumar died on 27 Apr after taking two doses of the vaccine. Dr Mahesh died on 18 Apr&amp; Dr Ramegowda CC died on 29 Apr, both had taken the 1st dose of the vaccine. https://t.co/tr5a1tdc6E"	a	0
"@IlonaKickbusch @AleksandraPH The world is still struggling with this pandemic. What was required - lockdown, share openly each vaccine as it was developed, mass produce the vaccines, (deal with loss from patents after recovery) deliver it to every corner of the world. We’d avoided all these mutations."	m	-1
"Time Oz Greek Orthodox ousted UNholy Archbishop:Oz taxe$ meant 2 treat elderly@StBasil's with respect &amp; care elderly have earned from rest of us went 2 Archbishop's robe+luxury pad he wasn't supposed 2 live in:St Basil's ""place of neglect"":50 Covid💀 https://t.co/4WOwnU9YnZ"	g	0
"Yesterday's and the day before yesterday's catch. 💯✨Haven't done much this weekend as I got sick. No worries, still covid-free. https://t.co/hbYkPaxTRk"	o	1
@PatrioticTrauma @Right2Liberty What you are missing is endless jabs = toxic spike production increasing chance for severe damage. 15 months the spike lingers in some. Every jab compounds damage. Dr Peter McCullough has spoken repeatedly of this.	a	0
"@KurtisBishop1 @Heather79993216 @LeslynLewis Good point. I’m not listening to the fear mongers with an agenda: the government, big pharma and the media. Kids have a greater chance of vaccine injury than any harm from the virus."	a	0
How COVID shots for kids help prevent dangerous new variants https://t.co/903PmMHP8S via @YahooNews @AP @AssociatedPress @AP_Archive @AP_GMS @COVID19Tracking @ntfcovid19ph	p	0
"Moderna booster isn't as bad as shot #2 but damn, I feel like I was hit by a truck"	p	0
Healthcare professionals have a duty to support vaccine hesitant patients by- asking about concerns without judgement 📣 - actively listening👂 - explaining data on their terms 📈- building trust: allow space to process &amp; ask questions - be patient without judgement (2/2)	a	1
Switzerland must vote on whether to keep Covid restrictions as cases increase https://t.co/5JwUQWF8YR	g	0
"Missouri judge tosses COVID-19 health orders, calling them ‘naked lawmaking by bureaucrats’ https://t.co/4wlgyPdcg6"	g	-1
"@carmiico You haaaaave to do a photoshoot at the Tulip festival in Ottawa (april-ish each year, but idk if covid cancelled that?), ahh it'd be too good 😌💖💖"	m	1
This is what we need in kenya. Those coercive measures to get us vaccinated should be lifted. https://t.co/wI0sp4HNNP	a	-1
There is NO REASON FOR THESE MEASURES! 👇🏻 #Omicron https://t.co/Gddko3F6MR	m	-1
@shookster1000 @alacrates @ScottAdamsSays once infected how many vaccinated die?once infected how many unvaccinated die?get back to us with that [you won't]	ov	-1
@sbampfield @benkimber77 @LaTrioli Yes Banga you are totally right . Once the bill comes in the rules change completely. It’s not about the vax too much it’s about lockdowns. How many in Victoria want lockdown for 2022? If the bill comes in the lockdowns will be much worse than 2020 and 2021 put together.	g	-1
@MrNaivete @ja_warner1 @alternabirth @savvymike1 @KimIversenShow Yes these issues occur all the time at the same rate in unvaccinated as in vaccinated.   So we know there's no causal link - if there was it would be evident in clinical trials and/or in spikes in cases compared to previous years	a	0
"@JPlanellas @PaulADW @TheMarieOakes 🤣Shouldn't have released a bio-weapon then. And maybe they shouldn't create escape variants by using a non-sterilizing vaccine (transfection). People like you are so clueless. No understanding of immunology, history or geo-politics.  Propagandized."	g	-1
@RealCandaceO Are you going to recommend ppl take the pfizer pill to reduce the chance at hospitalization by 95%? Or are you going to tell them to keep trying hydroxychloroquine and ivermectin	ov	-1
@dubsndoo My family has a place in florida.... said it is 💯 like the before timesCovid and masking ..... isn’t a thing.... like not at all Prepare yourself for an alternate reality experience	o	1
Two travellers test positive to Omicron strain of COVID-19 in Sydney https://t.co/r9O2bhoPx6 Seriously is anyone surprised that SHITNEY have let this new strain of Covid into the country they started the whole thing in Australia so why wouldn’t they continue that trend ?	g	-1
"@sambearrr @RealCandaceO Participated in what, exactly? Taking a questionable vaccine with limited data that has been politicized into oblivion by Democrats? Yeah, no. You participate. Me and my superior natural immunity are doing just fine, sweetheart."	a	0
China to donate 600 million COVID-19 vaccine doses to Africa https://t.co/aAvJJiuzzX	g	1
@MSShastri9 @Priyank98741509 CIVIL SERVICES COVID RELIEF Consider our suffering and pain. Govt has to help us. Grant Fair Opportunity #UPSCExtraAttempt @PMOIndia  @narendramodi  @AmitShah @gssjodhpur  @myogiadityanath  @drdineshbjp  @ABVPVoice  @JPNadda  @BJP4UP  @DoPTGoI  @swatantrabjp  @kpmaurya1	g	1
Kaye Adams shares candid health update 24 hours after Covid booster jab https://t.co/HJAlEgPtQr	ov	0
@eNCA But they have 10 days quarantine at over £ 2000.	o	0
@amandamull Also I joined this book club during the pandemic and it’s all hits no skips on bizzaro but great https://t.co/U8gO3G16od	o	1
And non maskwearing anti vaccine dolts .... Don't care if its not the rule made by this disingenuous killer government 💔😪💔Hope he's in hospital soon &amp; recovers well 🤞 https://t.co/o7qf3lddcc	p	-1
@IndiaToday @jayanta_ghosal1 @PoulomiMSaha Aspirants who gave their last attempt prior to 2020 were in an advantageous position. COVID warriors demand equity and justice #UPSCExtraAttempt@PMOIndia@DoPTGoI@smritiirani@AmitShah@DrJitendraSingh@BJPMahilaMorcha#2 YEARS RELAXATIONhttps://t.co/iCWwzHVdwt	o	0
"For no reason in particular here are three pandemic depression snacks I've partaken in (not saying these are good, but maybe some of them are):1) Toast with siracha and vegan mayo2) A spoon of peanut cooked with a lighter3) Tortilla chips and ketchup"	o	0
@GovKathyHochul Your cult like obsession with the vaccine indicates you obviously have some kind of incentive to be pushing these so hard.	o	-1
"@NoDenynTruth @markjarthur You're suffering from insanity. Seriously, i already read about many people like you who mocked unvaxed and then died either from  clots/heart attack adverse events or from covid anyway. Keep that lose/lose approach for you.."	p	-1
"[LIVE REPORT]ALSA English Championship 2021""Creativity in the Midst of Pandemic""Agenda: Penutupan oleh MC, Eli Ardalya📍Zoom Cloud Meeting https://t.co/RpJ01AIiAP"	g	0
Canadians to get biggest drop in gasoline prices since 2009 over COVID variant fears https://t.co/QVdFtC7X5H	g	-1
@mmpadellan @GregAbbott_TX Abbott not Costello has kept his head up his ass since the beginning of the pandemic and still fails to show that he's got a brain cell.	g	-1
New York Declares State Of Emergency To Fight Omicron Variant https://t.co/8kpH98a7zD	g	0
"@hostofthefeast yep, apparently up to 5,000 have refused to take the jab"	ov	0
@blknoiz06 Only After 6 booster shots and 3 different vaccine they Will give up	a	0
"Mandatory vaccination is going to be tricky considering the constitution, their best bet is to implement mandatory rapid covid tests before entering establishments."	ov	0
"@POTUS But you left the southern borders open. Where 150,000 + unvaccinated illegal immigrants are coming in to our country from 150+ different countries monthly. Why are there not travel bans from all countries with cases of Omicron?  Makes no sense. Just more smoke and mirrors!"	g	-1
@CP24 about as rational as shutting down for covid	m	-1
Stricter border control. More testing. Our past experience with the original covid strain and delta variant has taught us that these are the solutions we need to avoid a surge. SANA WAG LANG REIMPOSITION NG FACE SHIELD POLICY ANG PAGTUUNAN NG PANSIN!!	g	-1
@TimHuttonAu @OverSlavery @Lookup87765684 @tarullz80 @Azzymiller @9NewsMelb So your saying the first 5 lockdowns worked but for some reason the 6th didn't and you think that makes sense even no the vax rate was the highest for the 6th lockdown 🤣🤣🤣	m	-1
@DGBassani @crwequine Proof of vaccination is becoming quite irrelevant in these contexts.	ov	0
@pre176 @florian_krammer @ScottGottliebMD 2/2 It’s a ‘few’ *identified* cases. Are we really saying the reservoir at this point is (surprise) all AFRICAN countries? Omicron is in European countries and likely has already made it to US. Perhaps the also documented ‘mild’ symptoms make it hard to pinpoint…	g	-1
"it’s so fuckin weird to me that ppl will spend so much time, money, &amp; energy on getting a fake vaccination card as opposed to just getting the damn shot"	m	-1
"Negative for Covid, but Gender? Who knows https://t.co/fKAef6JLRN"	o	0
"Long before the COVID-19 pandemic and the concomitant vaccine, the anti-vaccination movement was mainly identified with one very specific myth: the idea that vaccines cause autism.https://t.co/JnVnyFkoN0"	s	0
"@ChrisGabel1 @drdenwalker If you haven't had 2 shots CDC says you're unvax. Soon you'll have to have 3 jabs. Also CARES Act: ""A Medicare add-on payment of 20% for both rural and urban inpatient hospital COVID-19 patients;""  follow the money.https://t.co/0bO0T4dTv5"	g	0
@CassieLee Do you feel lonely in this quarantine  too?	m	-1
"Delhi Records 34 New COVID-19 Cases, 1 Death https://t.co/MbLkYgUtNu https://t.co/qR5LjmmW5C"	g	-1
"💬Canada, Australia report cases of omicron; Fauci says new variant might 'evade immune protection': COVID-19 updates - https://t.co/KR3NXVsvoR📻 87.7fm | 📲 https://t.co/g70GVICZX8 https://t.co/tkEemo4gGa"	g	-1
"@_RavensFan61 @pptsapper Yet they consistently vote against their own interests!You don’t really think the orange-haired douchebag gives a flying fuck about that outraged ‘little man’, do you?How e.g. does vaxx denialism help these people?How does voting for what the Rs have become ***help*** people?"	p	-1
uniquely qualified* to answer this question:1. strange days2. angus3. baby-sitters club4. casino5. brady bunch movie*i watched 202 movies from 1995 during 2020 pandemic lockdowns. https://t.co/vq2g7sBAG9	o	-1
@harrowerSue @ChocoStarfsh ❤️😷❤️We STILL have mask mandate in Ontario 🇨🇦 --it was never lifted. We also have increasing vaccine mandates. I wear the mask/get vaccines to help humanity navigate through this pandemic. I still live life WHILE following protocols.	p	0
"@BurgSkeletal @BartenderHemry I think it's more. With Covid, conservatives and proxies have done everything to spread fear and distrust to others.Bidens point was that they should sit down and get out of the way for now.  Many are choosing to incite anger instead."	g	-1
@SUSimulation Same.   Moderna booster Friday after AZ originally.  Felt knackered yesterday so mooched on sofa.	p	0
"Vaccinated people can still spread the virus and a new ‘variant’ is out. Do you not see the lies? For your health? Why be afraid… if life wants you sick and dead this easy, why do you even care then? Why are you living for anyway? Do you THINK? #covid #scam"	a	-1
Covid is that you? https://t.co/Vb3twjZJFG	o	0
Upsc Covid Attempts@AmitShah https://t.co/pys6FBdtSh	o	0
"November 28, 2021INFOGRAPAHICS re COVID 19 https://t.co/ApeyNT1WSK"	o	0
@PedroVieira_25 covid?	o	0
"@MSignorile, did you read about the tweet @FoxNews said about the Omicron variant? Said that it was the Democrats plan to win the votes.  Pisses ME off."	g	-1
